Date,Actual_Return,Expected_Return,Abnormal_Return,R_squared,News_Day
2020-01-03,0.02963325829792085,,,,False
2020-01-06,0.01925463704513497,,,,False
2020-01-07,0.03880052465815398,,,,False
2020-01-08,0.04920482578812169,,,,False
2020-01-09,-0.021945011900097344,,,,False
2020-01-10,-0.006627297633174156,,,,False
2020-01-13,0.0976889588509331,,,,False
2020-01-14,0.024882822120200876,,,,False
2020-01-15,-0.03610201351305786,,,,False
2020-01-16,-0.009662477636014799,,,,False
2020-01-17,-0.005822894156913949,,,,False
2020-01-21,0.07189030619278935,,,,False
2020-01-22,0.04086264444061727,,,,False
2020-01-23,0.004635122144013071,,,,False
2020-01-24,-0.012897603180825445,,,,False
2020-01-27,-0.012039272835579373,,,,False
2020-01-28,0.015913383222044608,,,,False
2020-01-29,0.024854513769903663,,,,False
2020-01-30,0.10296225866535558,,,,False
2020-01-31,0.015230690473505115,,,,False
2020-02-03,0.19894859376394924,,,,False
2020-02-04,0.13725640223576474,,,,False
2020-02-05,-0.1717583947927872,,,,False
2020-02-06,0.01940931694254444,,,,False
2020-02-07,-0.001188323805631386,,,,False
2020-02-10,0.031026496329857656,,,,False
2020-02-11,0.004019260937028868,,,,False
2020-02-12,-0.009155657933695438,,,,False
2020-02-13,0.0478436525517798,,,,False
2020-02-14,-0.00493775566834842,,,,False
2020-02-18,0.0729597130158357,,,,False
2020-02-19,0.06875580895325561,,,,False
2020-02-20,-0.019631105097986157,,,,False
2020-02-21,0.0017678087791648256,,,,False
2020-02-24,-0.07459490327646512,,,,False
2020-02-25,-0.040633739641448896,,,,False
2020-02-26,-0.026390470576789893,,,,False
2020-02-27,-0.12814583958462689,,,,False
2020-02-28,-0.016215047800994253,,,,False
2020-03-02,0.11322034293215233,,,,False
2020-03-03,0.0025416095259802596,,,,False
2020-03-04,0.0053520173720666975,,,,False
2020-03-05,-0.033302230445070524,,,,False
2020-03-06,-0.029066704869448956,,,,False
2020-03-09,-0.13572525720249962,,,,False
2020-03-10,0.061398023823663106,,,,False
2020-03-11,-0.017200452670558586,,,,False
2020-03-12,-0.11617242301113506,,,,False
2020-03-13,-0.0248505535904755,,,,False
2020-03-16,-0.18577806455584012,,,,False
2020-03-17,-0.03341046380880208,,,,False
2020-03-18,-0.1603440409986845,,,,False
2020-03-19,0.1838768421567878,,,,False
2020-03-20,-0.0002571736151377735,,,,False
2020-03-23,0.015811747064244486,,,,False
2020-03-24,0.16281749323562988,,,,False
2020-03-25,0.06782176450892674,,,,False
2020-03-26,-0.020565621439638027,,,,False
2020-03-27,-0.026128393930185068,,,,False
2020-03-30,-0.02377714859552571,,,,False
2020-03-31,0.04355446239344318,,,,False
2020-04-01,-0.08099239055277141,,,,False
2020-04-02,-0.05625466454987249,,,,False
2020-04-03,0.05619734693587186,,,,False
2020-04-06,0.0754775752334993,,,,False
2020-04-07,0.05658223700690801,,,,False
2020-04-08,0.006214994497730331,,,,False
2020-04-09,0.04402015748241661,,,,False
2020-04-13,0.13603839302984921,,,,False
2020-04-14,0.09054457315006381,,,,False
2020-04-15,0.028088878270565276,,,,False
2020-04-16,0.02107340162500071,,,,False
2020-04-17,0.011647723586206249,,,,False
2020-04-20,-0.009988248360572882,,,,False
2020-04-21,-0.0799077799617377,,,,False
2020-04-22,0.06609682849410836,,,,False
2020-04-23,-0.036169462779073736,,,,False
2020-04-24,0.02766324531628772,,,,False
2020-04-27,0.10149622245552825,,,,False
2020-04-28,-0.037095477323576875,,,,False
2020-04-29,0.040812876924676944,,,,False
2020-04-30,-0.023272674923369818,,,,False
2020-05-01,-0.1030337133662409,,,,False
2020-05-04,0.08536758793631605,,,,False
2020-05-05,0.009222447764407393,,,,False
2020-05-06,0.018705825945557253,,,,False
2020-05-07,-0.003245695176505081,,,,False
2020-05-08,0.05048456274844226,,,,False
2020-05-11,-0.0099216488475673,,,,False
2020-05-12,-0.002317270311292141,,,,False
2020-05-13,-0.02279437261341355,,,,False
2020-05-14,0.01563919280204029,,,,False
2020-05-15,-0.005178425650618879,,,,False
2020-05-18,0.018093785504579962,,,,False
2020-05-19,-0.006907343337870575,,,,False
2020-05-20,0.00934395713390801,,,,False
2020-05-21,0.01476284478490908,,,,False
2020-05-22,-0.012953077701596039,,,,False
2020-05-26,0.0024360442933193394,,,,False
2020-05-27,0.0016608447192640874,,,,False
2020-05-28,-0.017580381620416863,-0.021064258173372076,0.003483876552955213,0.5102861819278607,False
2020-05-29,0.03622440280883765,0.021607714293361755,0.014616688515475897,0.5110178754270598,False
2020-06-01,0.07556883131087,0.03215687380271129,0.04341195750815871,0.5114031628453366,False
2020-06-02,-0.018416628784101774,0.011715442995636313,-0.030132071779738086,0.5121113311068051,False
2020-06-03,0.0015880436011630472,0.02138841237518932,-0.019800368774026272,0.5109463961814256,False
2020-06-04,-0.021042854169221026,-0.03955362061993275,0.018510766450711723,0.5101675429582889,False
2020-06-05,0.024618805538279664,0.021246283845592268,0.003372521692687397,0.5104296957992183,False
2020-06-08,0.0725560681818036,0.03918459689237695,0.03337147128942665,0.5106822285451171,False
2020-06-09,-0.00973763414433615,0.0017477103733749833,-0.011485344517711132,0.5128017701683658,False
2020-06-10,0.08970205725269786,-0.008694997350466579,0.09839705460316445,0.512909997482896,False
2020-06-11,-0.0509341048991272,-0.047766239173755054,-0.003167865725372143,0.49991037941102867,False
2020-06-12,-0.03860863311078977,0.01486657082139509,-0.053475203932184856,0.5038796467440502,False
2020-06-15,0.059468762792361796,0.043770579528051884,0.01569818326430991,0.500297392821841,False
2020-06-16,-0.008850490655781473,0.015507906249157155,-0.02435839690493863,0.5025076057300403,False
2020-06-17,0.009835722116904755,0.027239956556689426,-0.01740423443978467,0.5016280734226262,False
2020-06-18,0.012270733625858066,0.008841638903688416,0.0034290947221696493,0.5009969773839953,False
