,Mean,Std,CV,Min,Max
Mkt-RF,0.11243171822797729,0.5770494913155048,5.132443943847092,-1.0473343652846594,1.6863821503786167
SMB,-0.0036678557266229695,0.21101431611938842,57.53070236316829,-0.41847639025965594,0.6864697687499948
HML,-0.2972795638035483,0.18922715770549192,0.6365293169985246,-0.7412961137492293,0.2719696947295271
RMW,0.33876270857357477,0.30078825187514574,0.8879024882687715,-0.03164777531433885,1.2413798015718058
CMA,0.6180254462389367,0.5988908721755171,0.96903918086243,-0.59135206531226,2.0542638992888174
Sector_Return,0.9112275846554244,0.49465596470506606,0.5428456875480975,-0.20328689737889954,1.96214270014271
